position,name,description
1,SHINZO,CORAZON
2,SHINTAI,CUERPO
3,ATAMA,CABEZA
4,MIMI,OREJA
5,ME,OJO
6,JANA,NARIZ
7,HA,DIENTES
8,KUSHI,BOCA
9,KUBI,CUELLO
10,NODO,GARGANTA
11,KATA,HOMBRO
12,EMPI,CODO
13,UDE,ANTEBRAZO
14,KO,MUÑECA
15,ASHI,PIERNA
16,HARA,ABDOMEN
17,HIZA,RODILLA
18,KAKATO,TALON
19,YOSUKUTE,BOLA DEL PIE
20,SOKUTO,CUCHILLO DEL PIE
21,HAISOKU,EMPEINE DEL PIE
22,TEISOKU,PLANTA DEL PIE
23,TE,MANO
24,SEIKEN,FRENTE DEL PUÑO
25,SHUTO,CUCHILLO DE LA MANO
26,RIKEN,DORSO DE PUÑO
27,HAITO,LOMO DE LA MANO
28,MUNE,PECHO
29,TANDEM,ABDOMEN
30,SENAKA,ESPALDA
