position,name,description
1,HEISOKUDACHI,PIES JUNTOS
2,MUSUBIDACHI,TALONES JUNTOS PUNTAS SEPARADAS
3,UCHIHACHIJIDACHI,VARIANTE DE HEIKO DACHI CON TALONES HACIA AFUERA
4,HEIKO DACHI,PIES PARALELOS SEPARADOS AL ANCHO DE LOS HOMBROS
5,SOTOASHIJIDACHI,COMO HEIKO DACHI CON LAS PUNTAS DE LOS PIES HACIA AFUERA
6,NAIFANCHIDACHI,PIES PARALELOS CON TALONES HACIA AFUERA Y RODILLAS FLEXIONADAS
7,SHIKODACHI,"POSICION BAJA, PIES ABIERTOS HACIA AFUERA Y RODILLAS FLEXIONADAS"
8,SENKUTSUDACHI,UNA PIERNA AL FRENTE FELXIONADA Y LA OTRA ATRAS ESTIRADA
9,KOKUTSUDACHI,COMO SENKUTSUDACHI AL REVES
10,OKUTSUDACHI,"VARIANTE DE KOKUTSUDACHI, MAS PROFUNDA"
11,NEKOASHIDACHI,"PESO EN LA PIERNA TRASERA, LA DELANTERA APENAS TOCA EL PISO"
12,KOSADACHI,POSICION CRUZADA UNA PIERNA DELANTE DE LA OTRA
13,SAGIDACHI,PESO EN UNA PIERNA Y LA OTRA LEVANTADA (POSICION DE GRULLA)
14,KIBADACHI,POSICION DE JINETE
15,IAIDACHI,ARRODILLADO CON UNA PIERNA AL FRENTE
16,SANCHINDACHI,PIES EN ANGULO Y RODILLAS FLEXIONADAS
17,SOCHINDACHI,COMBINACION ENTRE SENKUTSUDACHI Y KIBADACHI
18,AUMIRACHIDACHI,UN PASO
19,HANSENKUTSUDACHI,"COMO SENKUTSUDACHI PERO, MAS PEQUEÑO"
20,MOTODASHI,"COMO SENKUTSUDACHI, MAS PEQUEÑO Y AMBOS PIES VEN AL FRENTE"
21,BENSOCUDASHI,COMO KOSADACHI DE LADO
22,T-DASHI,POSICION DE T CON LOS PIES
23,LENOJIDASHI,COMO T-DACHI CON LOS PIES SEPARADOS
