position,name,description
1,MAE GERI KEAGE,PATADA HACIA AL FRENTE DE LATIGAZO
2,MAE GERI KEKOMI,PATADA HACIA EL FRENTE DE ESTOCADA
3,YOKO GERI KEAGE,PATADA DE LADO EN LATIGAZO
4,YOKO GERI KEKOMI,PATADA DE LADO EN ESTOCADA
5,UCHIRO GERI KEAGE,PATADA HACIA ATRÁS EN LATIGAZO
6,UCHIRO GERI KEKOMI,PATADA HACIA ATRÁS EN ESTOCADA
7,MAWASHI GERI,PATADA CIRCULAR
8,HAISOKU MAWASHI GERI,PATADA CIRCULAR CON EMPEINE DEL PIE
9,FUMIKOMI GERU,PATADA DE PISOTON
10,KANSET GERI,PATADA CON EL CUCHILLO DEL PIE
11,KAKATO GERI,PATADA CON EL TALON DEL PIE
12,MAE TOBI GERI,PATADA HACIA DELANTE EN SALTO
13,YOKO TOBI GERI,PATADA DE LADO EN SALTO
14,HIZA GERI, RODILLAZO
15,NAMI ASHI,BARREDORA CON LA PIERNA DELANTERA
16,ASHI BARAY, BARREDORA
17,MIKA SUKI GERI UKE,PATADA CIRCULAR EN BLOQUEO CON LA PLANTA DEL PIE
18,SUMASAKI GERI,PATADA CON LAS PUNTAS DE LOS DEDOS
19,GIAKU MAWASHI GERI,PATADA CIRCILAR CON EL EMPEINE DEL PIE
20,USHIRO MAWASHI GERI,PATADA CIRCULAR HACIA ATRÁS EN GIRO
21,USHIRO MAWASHI TOBI GERI,PATADA CIRCULAR HACIA ATRÁS EN SALTO
22,KINTEKI GERI,PATADA LATIGAZO CON EMPEINE A LA PARTE GENITAL
