position,name,description
1,YODAN AGE UKE,DEFENSA ASCENDENTE
2,YOKO UKE,DEFENSA DE LADO
3,YOKO UCHI UKE,DEFENSA DE LADO HACIA DENTRO
4,GEDAN BARAY,DEFENSA DESCENTE
5,SHUTO UKE,DEFENSA CON EL CUCHILLO DE LA MANO
6,JUJI SHOTEI UKE,DEFENSA EN X CON MANOS ABIERTAS
7,JUJI UKE,DEFENSA EN X CON PUÑOS
8,MOROTE KAKIWAKE UKE,DEFENSA CON DOS BRAZOS EN CUÑA
9,MOROTE YOKO UKE,DEFENSA EN EL ANTEBRAZO REFORZADA CON EL PUÑO
10,ZUKI UKE,DEFENSA Y GOLPEO SIMULTANEO
11,TEISHO UKE,DEFENSA CON EL TALON DE LA MANO
12,KEITO UKE,DEFENSA CON CABEZA DE GALLO
13,KO UKE,DEFENSA CON LA MUÑECA DOBLADA
14,HAISHU UKE,DEFENSA CON EL DORSO DE LA MANO
15,KENTSUI UKE,DEFENSA DE MARTILLO DE LA MANO
16,KAKE UKE,DEFENSA DE GANCHO
17,SUKAMI UKE,DEFENSA SUJETANDO O AGARRANDO
18,NAGASHI UKE,DEFENSA CON LA PALMA DE LA MANO
19,OSAE UKE,DEFENSA CON PRESION Y MANO ABIERTA
20,SUKUI UKE,DEFENSA CIRCULAR DE CUCHARON (BASSAIDAI)
21,WANKA UKE,DEFENSA DOBLE ASCENDENTE (BASSAIDAI)
22,UDE UKE,DEFENSA CON EL ANTEBRAZO
23,TEKUBI KAKE UKE,DEFENSA CON EL DORSO DE LA PALMA HACIA ABAJO (JITTE)
24,JIJI UKE,DEFENSA CON EN ANTEBRAZO EN LA CADERA
25,JIJI SASAE UKE,DEFENSA DE LA LADO CON REFUERZO DE MANO ABIERTA KURI UKE DEFENSA HACIA FUERA CON LA PALMA DE LA MANO H/A
26,SEIRYU TO UKE,DEFENSA HACIA ABAJO CON MANO DE BUEY
27,AWASETE UKE,DEFENSA CON AMBAS MANOS EN REFUERZO
28,KAKETE UKE,DEFENSA CON MANO ABIERTA GIRÁNDOLA HACIA UN LADO OTOSHE UDE UKE DEFENSA CON EL ANTEBRAZO HACIA ABAJO
29,HARAY UKE, COMO SHUTO UKE HACIA ABAJO
30,NANAMI UKE, COMO HARAY UKE EN SHIKODACHI
31,JONA UKE, COMBINACION DE DOS BLOQUEOS
32,MAWASHI UKE,DEFENSA CIRCULAR CON AMBAS MANOS ABIERTAS (SUPARINPEI)
33,KOTE UKE, COMBINACION DE YOKO UKE Y YODAN AGE UKE (PINAN SHODAN)
34,KOTE SHOTEI UKE, COMO KOTE UKE CON MANOS ABIERTAS (PINAN YONDAN)
35,UCHI SHOTEI UKE, COMO UCHI UKE CON LA MANO ABIERTA
