position,name,description
1,SEIKEN,GOLPE DIRECTO
2,SEIKEN CHOKU ZUKI,GOLPE DIRECTO AL FRENTE
3,OIT ZUKI,GOLPE CON MISMA PIERNA
4,GYAKU ZUKI,GOLPE CON LA PIERNA CONTRARIA
5,TATE ZUKI,GOLPE CON EL PUÑO VERTICAL
6,MAWASHI ZUKI,GOLPE CIRCULAR
7,URA ZUKI,GOLPE INVERTIDO DE CERCA
8,MOROTE HEIKO ZUKI,GOLPE CON DOS PUÑOS PARALELOS
9,MOROTE YAMA ZUKI,GOLPE CON DOS PUÑO ARRIBA Y CENTRO (U)
10,KAGI ZUKI,GOLPE EN GANCHO
11,RIKEN UCHI,GOLPE CON EL DORSO DEL PUÑO
12,HITO SASHI IPON KEN,GOLPE DEDO INDICE DOBLADO
13,NAKADATE IPON KEN,GOLPE DEDO MEDIO DOBLADO
14,HIRAKEN UCHI,GOLPE CON CUATRO DEDOS DOBLADOS
15,KENTSUI UCHI,GOLPE PARTE INFERIOR DEL PUÑO
16,HAITO UCHI,GOLPE CON EL LOMO DE LA MANO
17,HAISHU UCHI,GOLPE CON EL DORSO DE LA MANO
18,KUMADE UCHI,GOLPE GARRA DE OSO
19,IPON NUKITE,GOLPE DE PUNTE CON EL DEDO INDICE
20,NIHON NUKITE,GOLPE DE PUNTA CON DOS DEDOS
21,YOHON NUKITE,GOLPE DE PUNTA CON CUATRO DEDOS
22,SHUTO UCHI,GOLPE CUCHILLO DE LA MANO
23,GIAKU YOHON NUKITE,GOLPE CON EL CUCHILLO DE LA MANO Y PIERNA CONTRARIA
24,GIAKU SHUTO UCHI,GOLPE CUCHILLO DE LA MANO AL CONTRARIO
25,UDE UCHI,GOLPE CON EL ANTEBRAZO
26,TEISHO UCHI,GOLPE CON EL TALON DE LA MANO
27,TEISHO UCHI CHUDAN,GOLPE CON EL TALON DE LA MANO DE LADO
28,TEISHO UCHI GEDAN,GOLPE CON EL TALON DE LA MANO HACIA ABAJO
29,KO UCHI,GOLPE CON LA MUÑECA FLEXIONADA
30,SEIRYUTO UCHI,GOLPE CON MANO DE QUIJADA DE BUEY
31,OYAYUBI,GOLPE CON EL DEDO PULGAR
32,HERABASAMI,GOLPE CON LA UNION DEL PULGAR E INDICE
33,YUBI BASAMI,"GOLPE CON LA UNION DEL PULGAR, INDICE Y MEDIO"
34,URAKEN UCHI,GOLPE INDIRECTO CON LOS NUDILLOS
35,AGET SUKI,GOLPE DE GANCHO ASCENDENTE
36,FURIT SUKI,GOLPE CIRCULAR CON EL DORSO DEL PUÑO
37,OTOSHE UCHI,GOLPE APLASTANTE
38,WASHIDE UCHI,GOLPE CON LAS YEMAS DE LOS DEDOS
39,SHOTEI UCHI,GOLPE CON TODA LA PALMA DE LA MANO
40,KEITO UCHI,GOLPE CON CABEZA DE GALLO
41,MAE JIJI ATE,GOLPE CON EL CODO EN EL MENTON
42,MAE EMPI UCHI,GOLPE CON EL CODO EN LA BOCA DEL ESTOMAGO
43,YOKO EMPI UCHI,GOLPE HACIA UN LADO CON EL CODO
44,UCHIRO EMPI UCHI,GOLPE HACIA ATRÁS CON EL CODO
45,MAWASHI EMPI UCHI,GOLPE CIRCULAR CON EL CODO
46,OCHI ZUKI,GOLPE CON MANO SOBRE EL PUÑO (AOYAGUI)
